দলীয়_সরকারের_অধীন,72
চলতি_অর্থবছরের_মাস,163
নিরপেক্ষ_সরকারের_অধীন,51
অর্থমন্ত্রী_মুস্তফা_কামাল,54
সাবেক_মার্কিন_প্রেসিডেন্ট,55
সুশাসনের_নাগরিক_সুজন,76
বন্দুকযুদ্ধের_ঘটনা_ঘট,52
পরিমাণ_কোটি_টাকা,65
লেভেল_প্লেয়িং_ফিল্ড,65
বাংলাদেশ_শিল্প_বণিক,87
ঢাকার_মহানগর_হাকিম,61
কোটি_লাখ_টাকা,97
পরিবারের_সদস্যদের_সাথ,134
কোচের_দায়িত্ব_পালন,62
হাতমারফৎ_বার্তা_যাচা,99
সিটি_করপোরেশন_নির্বাচন,376
নেতিবাচক_প্রভাব_পড়ব,53
টাকা_কেজি_দর,140
ডেপুটি_অ্যাটর্নি_জেনার,127
পাওনা_টাকা_আদা,103
অপরকে_ভাল_বোঝ,55
বুদ্ধিমত্তার_সময়_সুযোগ,55
কাটিয়ে_উঠতে_পারব,27
টেকসই_উন্নয়ন_লক্ষ্যমাত্,81
পুলিশের_অপরাধ_তদন্ত,81
নির্বাচনের_তফসিল_ঘোষণা,66
খালেদা_জিয়ার_জামিন,48
শাওন_খান_সূত্র,51
অনভিপ্রেত_সংবাদ_প,76
আপনাকে_সত্যিই_বলব,71
আনিসুল_সাহিত্যিক_সাংবাদিক,127
স্থানীয়_সরকার_নির্বাচন,127
কৃষিমন্ত্রী_মতিয়া_চৌধুরী,60
মামলার_তদন্ত_কর্মকর্তা,209
পাঁচ_বছরের_কারাদণ্ড,48
ব্যাংকের_ব্যবস্থাপনা_পরিচালক,186
নিয়ন্ত্রণ_কমিশন_বিটিআরসি,9
বাংলাদেশ_ছাত্র_অধিক,80
বাড়িতে_সমস্যা_আশা,61
সারা_আলি_খান,66
কোটি_কোটি_টাকা,108
সংযুক্ত_আরব_আমিরাত,296
জাতীয়_ফুটবল_দল,39
ওভারে_উইকেটে_রান,120
সাইফ_আলি_খান,64
সামাজিক_সংকট_এড়ি,55
সেগুলো_খুঁটিয়ে_দেখুন,59
দিনের_শেষ_ভাগ,61
রায়_ঘোষণার_সম,58
পাঠানো_সংবাদ_বিজ্ঞপ্তি,61
তিন_লাখ_টাকা,93
শেখ_হাসিনার_সরক,61
হাজার_হাজার_মানুষ,130
বেল্ট_অ্যান্ড_রোড,60
গ্রেপ্তারি_পরোয়ানা_জারি,58
রানের_ইনিংস_খে,62
প্রধান_নির্বাচন_কমিশনার,53
স্ত্রীকে_দীর্ঘ_সম,51
সমস্যার_সমাধান_সম্ভব,61
জেলা_আওয়ামী_লীগ,111
সাবের_হোসেন_চৌধুরী,51
মহীউদ্দীন_খান_আলমগীর,92
ঢাকা_চট্টগ্রাম_মহাসড়,96
আসিফ_নজরুল_অধ্যাপক,64
সালের_ফেব্রুয়ারি_মাস,56
রাত_সাড়ে_,63
মৃত্যুকালে_বয়স_বছর,64
উপজেলা_আওয়ামী_লীগ,97
ইনিংসে_রানে_অলআউট,64
আবু_হায়দার_রনি,93
বেগম_খালেদা_জিয়,51
মেষ_21Mar_Apr,600
বিবাহিত_জীবনের_স,43
কলেজ_হাসপাতালে_ভর্তি,58
রুহুল_কবির_রিজভী,187
ছবিটি_মুক্তি_পাব,102
পড়াশোনায়_আনন্দ_পাব,116
আওয়ামী_লীগ_নেতা,178
বাংলাদেশ_টেলিযোগাযোগ_নিয়ন্ত্রণ,71
রোমান্স_বিনোদন_শুভ,130
ইউএস_বাংলা_এয়ারলাইনস,53
জেলা_পরিষদের_চেয়ারম্যান,64
সকালে_ঘুম_উঠ,58
সরকারি_বেসরকারি_পর্যা,57
যৌন_হয়রানির_শিক,68
হার_দশমিক_শতাংশ,228
ফখরুল_ইসলাম_আলমগীর,13
রাশেদ_খান_মেনন,150
মেডিকেল_কলেজ_হাসপাতাল,230
সম্মিলিত_সামরিক_হাসপাতাল,52
কলেজ_হাসপাতালে_পাঠানো,7
উইকেট_হারিয়ে_রান,73
বদিউল_আলম_মজুমদ,109
জাতীয়_নিরাপত্তা_উপদেষ্,67
ধরনের_সামাজিক_সমস্য,72
স্কুল_কলেজের_শিক্ষার্থী,56
দলের_হাল_ধর,66
দিনটি_শুভ_সম্ভাবনাম,172
সড়ক_দুর্ঘটনায়_নিহত,65
পরিকল্পনামন্ত্রী_মুস্তফা_কামাল,103
অবাধ_সুষ্ঠু_নির্বাচন,66
বেকারদের_কারো_কারো,72
ভালোবাসা_দিবস_উপলক্ষ,51
ঢাকা_বিশ্ববিদ্যালয়ের_উপাচার্য,82
টাইগার_জিন্দা_হ্যা,111
কাজী_আমিনুল_ইসলাম,54
মূল্যবোধ_সমুন্নত_থাক,64
সাময়িক_অসুস্থতায়_ভুগ,77
ক্লান্তিকর_চাপপূর্ণ_প্রমাণিত,93
বাজার_গবেষণা_প্রতিষ্ঠান,75
পানি_পান_করুন,61
আহারেবিহারে_সতর্ক_থাকুন,88
আসুন_জেনে_যাক,88
মূল্য_সংযোজন_মূসক,76
জাতীয়_মানসিক_স্বাস্থ্য,79
স্থানীয়_আওয়ামী_লীগ,52
মিউচুয়াল_ফান্ডের_লেনদ,108
আপনাকে_অভিনন্দন_জানাব,52
ছাত্র_সংসদ_নির্বাচন,89
তত্ত্বাবধায়ক_সরকারের_আমল,61
যুগ্ম_মহাসচিব_বাংলাদেশ,3
সত্ত্বেও_স্বাস্হ্য_সুন্দর,54
হাফ_সেঞ্চুরি_পূরণ,65
নির্বাচন_অবাধ_সুষ্ঠু,54
কান্নায়_ভেঙে_পড়,59
সামাজিক_অবস্থান_সুদৃঢ়,69
কাজকর্মে_উৎসাহ_বোধ,136
কর্কট_Jun_Jul,615
আইন_সালিশ_কেন্দ্র,85
জড়িত_থাকার_অভিযোগ,61
খন্দকার_মাহবুব_হোস,73
অবলম্বনে_সাকিব_সিকান্দ,296
আওয়ামী_লীগের_প্রার্থী,195
কাজ_শেষ_পারব,6
এলাকায়_ঘটনা_ঘট,124
পরিবারের_কাঠিন্য_দেখাব,73
উপজেলা_কৃষি_কর্মকর্তা,67
গানটির_কথা_সুর,52
অর্থবছরের_লভ্যাংশ_ঘোষণা,54
মামলার_প্রধান_আসামি,55
জাতিসংঘ_নিরাপত্তা_পরিষ,60
কলকাতা_নাইট_রাইডার্স,58
সেরকমই_বিষয়গুলি_ইচ্ছামাফিক,86
রাত_সাড়ে_ট,137
গলা_কেটে_হত্যা,60
ঢাকা_বিশ্ববিদ্যালয়ের_শিক্ষক,82
বাণিজ্যমন্ত্রী_তোফায়েল_আহমেদ,255
সেতুমন্ত্রী_ওবায়দুল_কা,116
সহকারী_পুলিশ_সুপ,121
সূচক_কমেছে_পয়েন্ট,70
অস্থিরতা_পরিহার_করুন,69
খেলাপি_ঋণের_পরিমাণ,81
সুনাম_অন্যের_ঈর্ষ,9
পকেটে_বাড়ি_ফির,72
চার_ছক্কায়_রান,226
অগ্রণী_ভূমিকা_পালন,64
ওমর_শরীফ_পল্লব,1
মুহম্মদ_জাফর_ইকবাল,60
সংস্থা_বাংলাদেশ_সিকিউরিটিজ,8
নজরুল_ইসলাম_মঞ্জু,73
পুলিশ_সুপার_এসপি,63
সকাল_সাড়ে_,99
আওয়ামী_লীগের_প্রার্থীর,56
ঊর্ধ্বতন_কর্মকর্তারা_উপস্থিত,126
সৈয়দ_মনজুরুল_ইসলাম,65
বৃশ্চিক_অক্টোবর_নভেম্বর,539
হাজার_টাকায়_বিক্রি,88
ঢাকার_বাজারে_গতকাল,72
ফায়ার_সার্ভিসের_কর্মী,73
প্রতিটি_শেয়ারের_দাম,61
অনুশোচনা_ডেকে_আনব,54
আওয়ামী_লীগের_কেন্দ্রী,78
উইকেটে_রান_তোল,18
পাসের_হার_জিপিএ,56
পাওনা_কোটি_টাকা,54
বাংলাদেশ_পরিসংখ্যান_ব্যুরো,61
অনুবাদ_প্রতীক_বর্ধন,259
বরাদ্দ_হাজার_কো,57
বিলিয়ন_মার্কিন_ডল,68
উচ্চ_আদালতে_আপিল,64
বৃশ্চিক_অক্টোবর_নভেম্বর,63
জেনারেল_হাসপাতালে_ভর্তি,53
প্রধানমন্ত্রী_নরেন্দ্র_মোদি,129
গানটির_কথা_লিখ,72
জাতীয়_অর্থনৈতিক_পরিষ,91
রাখার_চেষ্টা_করুন,79
এশিয়া_কাপের_ফাইনাল,78
বিপরীত_দিক_আসা,90
রানের_জুটি_গড়,231
বেলা_সাড়ে_তিনট,54
গুরুত্বপূর্ণ_কাজ_শেষ,89
ঘটায়_প্রেম_পরাজিত,64
কমেছে_দশমিক_শতাংশ,51
নম্বর_ওয়ার্ডের_কাউন্সিলর,76
প্রচুর_পরিমাণে_ভিটামিন,54
কাঁদানে_গ্যাসের_শ,105
মানসিক_চাপ_আন,53
সূচকে_বাংলাদেশের_অবস্থান,51
প্রধান_অতিথি_হিসেব,115
আকবর_আলি_খান,133
সিংহ_Jul_Aug,615
বছর_পূর্তি_উপলক্ষ,66
পরিকল্পনা_এড়িয়ে_চলুন,64
সবচেয়ে_ভাল_জিন,69
পবিত্র_ঈদুল_আজহা,56
বাস_চলাচল_বন্ধ,93
দাম্পত্য_সম্পর্ক_ভালো,92
প্রতিপক্ষকে_আয়ত্তে_আন,89
বিশ্ব_স্বাস্থ্য_সংস্থা,96
সমস্যার_সমাধান_পারব,63
গতকাল_মঙ্গলবার_বিকেল,54
বিভাগের_অতিরিক্ত_সচিব,52
সালের_জানুয়ারি_মাস,65
ব্যয়_বৃদ্ধি_প,111
তথ্যের_সত্যতা_নিশ্চিত,98
আওয়ামী_লীগের_নেতা,414
খন্দকার_মোশাররফ_হোস,114
কথা_মাথায়_রেখ,58
চলতি_বছরের_মাস,81
থানায়_হত্যা_মামলা,84
নম্বর_প্রশ্নের_দা,54
হামলার_ঘটনা_ঘট,63
এভাবে_চলতে_থাকল,103
নির্বাহী_কমিটির_সদস্য,88
বিএনপির_মেয়র_প্রার্থী,70
কার্যালয়ে_সংবাদ_সম্মেলন,55
চিকিৎসাধীন_অবস্থায়_মা,72
বিমান_বাংলাদেশ_এয়ারলাইনস,146
ঢাকা_আন্তর্জাতিক_বাণিজ্য,58
বাংলাদেশ_জাতীয়_ক্রিকেট,65
সাংগঠনিক_সুফল_পাব,82
মোটামুটি_ভালো_থাক,70
পলিসি_রিসার্চ_ইনস্টিটিউট,67
চেন্নাই_সুপার_কিংস,75
সংগ্রহ_উইকেটে_রান,137
গাজীপুর_সিটি_করপোরেশন,75
অবস্থান_কর্মসূচি_পালন,75
ব্যবস্থাপনা_পরিচালক_এমডি,164
লাভজনক_দিনের_আপনা,63
মালিক_সমিতির_সভাপতি,61
পেয়েছেন_হাজার_ভোট,85
ভোক্তা_অধিকার_সংরক্ষণ,59
নামের_ব্যক্তি_নিহত,76
পাকিস্তান_ক্রিকেট_বোর্ড,68
তিন_নম্বরে_নামা,71
চলতি_বছরের_মার্চ,58
চিন্তার_সামর্থ্যকে_বিনষ্ট,59
স্টেট_ইউনিভার্সিটির_রাজনীতি,84
শরীর_স্বাস্থ্য_ভালো,55
উচ্চশিক্ষার্থীদের_দিনটি_শুভ,56
বিএনপির_ভাইস_চেয়ারম্যান,96
প্রধান_নির্বাহী_কর্মকর্তা,470
বেশির_ভাগ_ক্ষেত্র,133
মাশরাফি_বিন_মুর্তজা,311
সেদিকে_খেয়াল_রাখ,54
টাকাপয়সা_লাভ_প্রত্যাশামাফিক,56
বেসামরিক_বিমান_পরিবহন,56
সবচেয়ে_গুরুত্বপূর্ণ_বিষ,67
মহেন্দ্র_সিং_ধোনির,92
সংশ্লিষ্ট_ব্যক্তিরা_বলছ,105
নজরুল_ইসলাম_খান,168
মাশরাফি_বিন_মুর্তজ,115
বিশ্বের_সবচেয়ে_দামি,67
পাঁচ_হাজার_টাকা,128
সংস্কৃতিমন্ত্রী_আসাদুজ্জামান_নূর,94
চোখে_আঙুল_দেখি,67
হাজার_কোটি_ডল,337
লিমিটেডের_ব্যবস্থাপনা_পরিচালক,130
অতিরিক্ত_জেলা_দা,60
চিত্র_উঠে_এস,91
বাংলাদেশ_সড়ক_পরিবহন,125
ডিএসইতে_লেনদেনে_শীর্ষ,74
ওয়েস্ট_ইন্ডিজের_বিপক্ষ,277
আগের_যেকোনো_সময়,56
মানসিক_স্বাস্থ্য_ইনস্টিটিউট,10
মেষ_মার্চ_এপ্রিল,101
শাহজালাল_আন্তর্জাতিক_বিমানবন্দর,51
মীন_ফেব্রুয়ারি_মার্চ,546
সন্ধ্যা_সাড়ে_,70
আজকে_সবকাছু_ভালোর,96
প্রভাবিত_বেশী_খরচ,65
কেন্দ্রীয়_শহীদ_মিনার,105
অতিরিক্ত_জেলা_প্রশাসক,117
কথা_বলার_সম,215
তুলা_Sep_Oct,504
আর্থিক_দিক_ভালো,331
গ্রুপের_ব্যবস্থাপনা_পরিচালক,86
বক্তারা_এসব_কথা,60
অধিনায়ক_বিরাট_কোহ,95
হিসেবে_গড়ে_তুল,65
দক্ষিণ_এশিয়ার_দেশ,83
স্থানীয়_সরকার_মন্ত্রণাল,64
মন্ত্রণালয়ের_অতিরিক্ত_সচিব,59
দূরের_যাত্রা_শুভ,463
বেহাত_সম্পদের_দখল,51
চুক্তি_স্বাক্ষর_অনুষ্ঠান,65
বেড়েছে_দশমিক_শতাংশ,69
ক্ষমা_প্রার্থনা_করুন,53
বিচার_বিভাগের_স্বাধীনত,78
বাংলাদেশ_ক্রিকেট_দল,84
গবেষণায়_উঠে_এস,59
সিরাজুল_ইসলাম_চৌধুরী,96
থাকার_চেষ্টা_করুন,68
অতীতের_কারোর_আপনা,61
বিরুদ্ধে_কঠোর_ব্যবস্থা,83
সম্পাদক_ওবায়দুল_কা,42
সম্ভাব্য_চরম_মন্দ,58
কোটি_টাকার_লেনদ,48
মহেন্দ্র_সিং_ধোনি,150
বাংলাদেশের_সংগ্রহ_উইকেট,55
রাজনৈতিক_তৎপরতা_শুভ,76
কার্বন_ডাই_অক্সাইড,91
বাড়ি_ফেরার_পথ,73
আবু_বকর_সিদ্দিক,64
লীগের_যুগ্ম_সম্পাদক,52
যাত্রাপথে_সতর্ক_থাকুন,65
সূত্র_ডেকন_ক্রনিকল,143
আপনাকে_খুশি_রাখব,51
গুরুত্বপূর্ণ_ভূমিকা_পালন,342
কাজ_চাপ_দখল,64
বিদ্যার্থীদের_দিনটি_শুভ,109
আওয়ামী_লীগ_ক্ষমতা,76
প্রতিবেদনে_টাইমস_ইন্ডিয়া,92
